id,event,day,instance,enrollmentgroup,completed,date,time,time_participant,time_interval,positive_score,negative_score,positive_SD,negative_SD,pos_q1,neg_q2,pos_q3,neg_q4,pos_q5,neg_q6,neg_q7,neg_q8,pos_q9,pos_q10,neg_q11,pos_q12,neg_q13,pos_q14,neg_q15,pos_q16,pos_q17,neg_q18,pos_q19,neg_q20
12015,1,1,1,1,1,7/1/2021,7:06:29 AM,7:06:29 AM,,15,15,,,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,2,3,1
12015,1,1,2,1,1,7/1/2021,11:43:09 AM,11:43:09 AM,4:36:40,17,11,2,4,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,3,3,1,1,1
12015,1,1,3,1,1,7/1/2021,1:06:17 PM,1:06:17 PM,1:23:08,17,11,0,0,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,3,3,1,1,1
12015,1,1,4,1,1,7/1/2021,5:33:17 PM,5:33:17 PM,4:27:00,16,11,1,0,3,1,3,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1
12015,1,1,5,1,1,7/1/2021,8:56:00 PM,8:56:00 PM,3:22:43,11,11,5,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
12015,1,2,6,1,1,7/2/2021,7:48:12 AM,7:48:12 AM,,22,13,11,2,3,1,3,1,1,1,1,1,3,1,1,3,1,1,1,1,3,1,3,1
12015,1,2,7,1,1,7/2/2021,12:03:28 PM,12:03:28 PM,4:15:16,18,11,4,2,3,1,2,1,1,1,1,1,2,1,1,3,1,1,1,1,3,1,1,1
12015,1,2,8,1,1,7/2/2021,1:49:59 PM,1:49:59 PM,1:46:31,13,11,5,0,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1
12015,1,2,9,1,0,,,,,,,13,11,,,,,,,,,,,,,,,,,,,,
12015,1,2,10,1,1,7/2/2021,7:57:26 PM,7:57:26 PM,19:57:26,20,13,20,13,1,1,3,1,1,1,1,1,1,2,1,3,1,1,1,1,4,1,3,1
12015,1,3,11,1,1,7/3/2021,7:16:19 AM,7:16:19 AM,,16,11,4,2,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,1,1,1
12015,1,3,12,1,1,7/3/2021,10:57:13 AM,10:57:13 AM,3:40:54,19,11,3,0,2,1,1,1,1,1,1,1,2,1,1,3,1,1,1,3,4,1,1,1
12015,1,3,13,1,1,7/3/2021,1:16:03 PM,1:16:03 PM,2:18:50,15,14,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,1
12015,1,3,14,1,1,7/3/2021,7:01:19 PM,7:01:19 PM,5:45:16,16,11,1,3,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,4,1,1,1
12015,1,3,15,1,1,7/3/2021,7:40:49 PM,7:40:49 PM,0:39:30,13,11,3,0,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1
12015,2,4,1,1,1,8/12/2021,8:04:09 AM,8:04:09 AM,,14,17,1,6,1,2,1,1,1,1,1,1,1,1,3,3,1,1,1,1,2,3,2,1
12015,2,4,2,1,1,8/12/2021,11:35:56 AM,11:35:56 AM,3:31:47,19,14,5,3,3,2,1,1,1,1,1,1,1,1,2,3,1,1,1,3,3,1,2,1
12015,2,4,3,1,1,8/12/2021,2:25:54 PM,2:25:54 PM,2:49:58,16,14,3,0,2,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,3,1,2,1
12015,2,4,4,1,1,8/12/2021,6:12:57 PM,6:12:57 PM,3:47:03,19,12,3,2,3,1,3,1,1,1,1,1,1,1,1,3,1,1,1,1,3,1,2,1
12015,2,4,5,1,1,8/12/2021,8:48:45 PM,8:48:45 PM,2:35:48,12,12,7,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1
12015,2,5,6,1,1,8/13/2021,8:08:02 AM,8:08:02 AM,,22,19,10,7,3,3,1,3,1,1,1,1,1,1,2,4,1,1,1,3,3,1,4,1
12015,2,5,7,1,1,8/13/2021,10:25:14 AM,10:25:14 AM,2:17:12,17,13,5,6,2,2,1,1,1,1,1,1,1,1,2,4,1,1,1,3,2,1,1,1
12015,2,5,8,1,1,,,,,,14,17,1,2,2,,1,1,1,1,1,,1,2,3,1,1,2,1,3,1,1,1
