id,event,time,panaspmq1,panaspmq2,panaspmq3,panaspmq4,panaspmq5,panaspmq6,panaspmq7,panaspmq8,panaspmq9,panaspmq10,panaspmq11,panaspmq12,panaspmq13,panaspmq14,panaspmq15,panaspmq16,panaspmq17,panaspmq18,panaspmq19,panaspmq20,panas_start_pos,panas_start_neg
12015,1,0,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,13,10
12015,2,0,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,13,11
12015,3,0,2,3,2,1,1,1,1,1,2,1,3,3,1,1,1,1,3,2,3,1,19,15
12015,4,0,2,2,2,1,1,1,1,1,2,1,2,4,1,1,1,1,3,2,1,1,18,13
12015,5,0,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,2,2,2,1,1,14,12
12015,6,0,2,1,1,1,1,1,1,1,2,1,1,4,1,1,1,2,3,1,1,1,18,10
12015,7,0,2,1,1,1,1,2,1,1,1,1,2,3,1,1,1,1,3,1,1,1,15,12
12015,8,0,2,3,1,3,1,1,1,1,1,1,3,3,1,1,3,3,3,2,3,1,19,19
12016,1,0,2,3,4,3,4,1,1,2,3,3,3,2,1,1,1,1,2,1,2,1,24,17
12016,2,0,2,3,2,2,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,15,14
12016,3,0,2,3,2,1,2,1,1,1,2,3,2,1,1,1,2,1,1,1,1,1,16,14
12016,4,0,2,2,1,2,2,1,1,1,2,3,1,1,1,1,1,2,,1,1,1,,12
12016,5,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,11,10
12016,6,0,2,2,3,2,3,1,3,1,3,3,2,2,1,1,1,2,1,1,1,1,21,15
12016,7,0,3,1,3,2,3,1,1,2,3,3,1,1,1,3,3,2,2,2,3,1,26,15
12016,8,0,4,3,4,2,5,1,1,1,4,4,1,1,1,1,1,1,2,1,1,1,27,13
12018,1,0,4,2,4,2,4,1,1,1,3,4,4,2,1,4,3,4,3,3,3,1,35,19
12018,2,0,5,2,5,1,4,1,1,1,3,3,1,1,1,5,4,4,1,4,3,3,34,19
12018,3,0,4,2,4,1,5,1,1,1,4,3,1,2,1,4,2,2,1,1,1,1,30,12
12018,4,0,5,1,5,1,5,1,1,1,1,4,1,1,1,4,1,4,3,1,1,1,33,10
12018,5,0,5,1,5,1,5,1,1,1,4,4,1,3,1,5,3,2,2,1,1,1,36,12
12018,6,0,4,2,4,2,4,1,1,1,2,4,2,2,1,4,2,2,1,1,1,1,28,14
12018,7,0,4,3,4,3,4,2,2,1,3,3,3,2,1,4,3,2,2,3,3,1,31,22
12018,8,0,4,2,4,2,4,1,1,1,4,3,1,1,1,4,2,4,1,1,1,1,30,13
12020,1,0,2,2,3,2,1,3,1,3,3,2,3,3,2,2,2,2,2,1,2,1,22,20
12020,2,0,3,4,4,4,3,4,1,1,2,2,4,3,2,2,3,2,2,1,2,2,25,26
12020,3,0,5,2,5,2,2,3,1,1,5,3,1,3,1,4,1,3,2,1,4,1,36,14
12020,4,0,4,3,4,1,3,2,1,1,4,2,1,2,1,4,1,3,2,1,3,1,31,13
12020,5,0,5,1,4,1,1,1,1,1,4,4,1,3,1,1,1,4,2,1,4,1,32,10
12020,6,0,5,2,3,1,2,2,1,1,4,2,1,3,2,4,1,3,2,1,4,1,32,13
12020,7,0,5,2,4,2,2,1,1,1,4,4,1,2,1,3,1,4,3,1,3,1,34,12
12020,8,0,5,2,4,1,2,1,1,1,4,5,2,2,1,5,1,3,4,1,5,1,39,12
12023,1,0,3,2,4,2,3,1,1,1,2,2,3,3,1,2,2,4,3,1,2,1,28,15
12023,2,0,4,3,1,2,2,1,1,1,2,2,3,3,1,2,1,4,3,1,2,1,25,15
12023,3,0,3,1,2,1,2,1,1,1,2,2,1,3,1,2,2,3,3,1,1,1,23,11
12023,4,0,3,2,1,1,2,1,1,1,1,1,2,3,1,1,1,2,2,2,1,1,17,13
12023,5,0,4,1,3,1,2,1,1,1,2,2,1,4,1,2,2,4,4,1,2,1,29,11
12023,6,0,3,1,3,1,2,1,1,1,2,2,1,3,1,2,2,3,3,1,2,1,25,11
12023,7,0,3,1,2,1,2,1,1,1,3,3,1,3,1,2,1,3,3,1,2,1,26,10
12023,8,0,4,1,3,1,2,1,1,1,2,2,1,3,1,2,2,3,3,1,2,1,26,11
12024,1,0,4,1,1,1,2,1,1,1,2,1,2,2,1,1,1,3,3,1,1,1,20,11
12024,2,0,3,4,2,3,1,3,3,1,1,1,4,2,3,1,3,3,2,2,2,3,18,29
12024,3,0,4,1,2,1,3,1,1,1,2,3,1,1,1,3,1,3,3,1,3,1,27,10
12024,4,0,2,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,10
12024,5,0,4,2,1,4,2,1,1,1,1,1,2,1,1,1,1,1,2,1,3,1,17,15
12024,6,0,3,1,1,1,2,1,1,1,2,1,1,2,1,3,1,4,2,2,1,1,21,11
12024,7,0,3,4,1,4,1,1,3,2,1,1,4,1,1,1,3,2,3,3,1,1,15,26
