id,session,enrollmentgroup,pospre,negpre,pospost,negpost,iospre,iospost
12015,1,1,13,10,23,10,1,2
12015,2,1,13,11,22,10,1,2
12015,3,1,19,15,20,11,2,3
12015,4,1,18,13,25,10,3,4
12015,5,1,14,12,17,10,2,3
12015,6,1,18,10,19,12,3,4
12015,7,1,15,12,19,10,3,3
12015,8,1,19,19,23,10,3,3
12016,1,1,24,17,21,12,3,4
12016,2,1,15,14,19,11,3,3
12016,3,1,16,14,18,10,4,4
12016,4,1,,12,12,14,4,5
12016,5,1,11,10,23,15,4,5
12016,6,1,21,15,19,12,4,6
12016,7,1,26,15,25,16,5,5
12016,8,1,27,13,32,13,5,5
12018,1,1,35,19,41,15,4,4
12018,2,1,34,19,40,14,5,5
12018,3,1,30,12,40,10,5,6
12018,4,1,33,10,33,11,6,6
12018,5,1,36,12,31,11,6,6
12018,6,1,28,14,25,11,6,6
12018,7,1,31,22,29,15,6,6
12018,8,1,30,13,33,16,6,7
12020,1,1,22,20,38,11,1,6
12020,2,1,25,26,31,16,6,6
12020,3,1,36,14,40,10,6,6
12020,4,1,31,13,39,11,6,6
12020,5,1,32,10,31,16,6,6
12020,6,1,32,13,33,14,6,6
12020,7,1,34,12,36,17,6,6
12020,8,1,39,12,39,11,6,7
12023,1,1,28,15,31,12,1,2
12023,2,1,25,15,29,16,3,3
12023,3,1,23,11,30,12,3,4
12023,4,1,17,13,24,10,4,4
12023,5,1,29,11,29,14,5,5
12023,6,1,25,11,27,11,5,5
12023,7,1,26,10,28,11,4,4
12023,8,1,26,11,23,10,5,5
12024,1,1,20,11,35,10,3,5
12024,2,1,18,29,43,12,3,5
12024,3,1,27,10,40,10,4,6
12024,4,1,14,10,44,10,4,6
12024,5,1,17,15,37,10,4,6
12024,6,1,21,11,33,10,3,5
12024,7,1,15,26,34,11,4,6
12024,8,1,30,11,38,10,5,7
12026,1,1,34,17,37,16,2,7
12026,2,1,31,18,35,13,3,6
12026,3,1,25,17,41,12,4,6
12026,4,1,35,12,37,10,5,6
12026,5,1,20,11,,,6,
12026,6,1,29,12,41,11,6,7
12026,7,1,24,16,29,11,6,7
12026,8,1,22,19,42,12,6,7
12031,1,1,30,18,33,11,1,5
12031,2,1,25,15,26,10,6,7
12031,3,1,29,12,32,10,7,7
12031,4,1,27,13,28,10,6,7
12031,5,1,28,11,27,10,7,7
12031,6,1,24,13,27,10,6,7
12031,7,1,23,11,28,10,6,7
12031,8,1,29,10,38,10,7,7
12032,1,1,31,15,32,12,1,6
12032,2,1,31,21,39,13,3,6
12032,3,1,26,13,30,14,4,6
12032,4,1,22,11,30,14,4,6
12032,5,1,19,15,22,10,2,5
12032,6,1,,,,,,
12033,1,1,32,18,,18,2,3
12033,2,1,37,22,38,16,2,3
12033,3,1,38,19,39,15,4,4
12033,4,1,36,15,43,15,4,5
12033,5,1,21,22,24,20,4,4
12033,6,1,23,26,32,21,3,4
12033,7,1,35,17,40,16,4,5
12033,8,1,43,17,42,12,5,5
12035,1,1,21,13,30,12,1,4
12035,2,1,24,16,30,19,4,4
12035,3,1,33,14,36,15,4,5
12035,4,1,32,17,26,15,5,5
12035,5,1,28,18,25,27,5,5
12035,6,1,29,27,32,19,5,5
12035,7,1,30,19,32,19,5,5
12035,8,1,29,16,32,17,6,6
12038,1,1,20,11,25,10,1,2
12038,2,1,22,10,26,10,2,2
12038,3,1,19,10,23,10,2,2
12038,4,1,20,10,30,10,3,4
12038,5,1,20,10,29,10,3,4
12038,6,1,10,,29,10,4,4
12038,7,1,28,10,41,10,3,5
12038,8,1,33,10,36,10,5,5
12039,1,1,12,25,28,14,1,2
12039,2,1,11,20,29,11,1,3
12039,3,1,10,24,50,12,2,4
12039,4,1,11,16,50,11,2,7
12039,5,1,19,46,49,12,1,7
12039,6,1,10,45,15,32,5,7
12039,7,1,11,26,35,11,2,7
12039,8,1,16,32,20,22,2,4
12043,1,1,22,14,24,11,1,2
12043,2,1,21,18,31,18,2,2
12043,3,1,11,16,27,12,2,2
12043,4,1,24,17,26,13,2,3
12043,5,1,15,22,14,26,3,3
12043,6,1,17,22,29,14,2,3
12043,7,1,25,13,,,3,
12043,8,1,17,16,33,15,3,4
12045,1,1,24,11,30,10,1,2
12045,2,1,25,12,29,10,2,2
12045,3,1,31,12,46,10,3,4
12045,4,1,34,11,46,11,4,4
12045,5,1,17,15,34,10,4,6
12045,6,1,27,15,30,10,5,6
12045,7,1,18,24,31,17,5,7
12045,8,1,25,10,33,10,6,7
12050,1,1,25,11,25,10,1,2
12050,2,1,22,13,27,11,2,2
12050,3,1,21,11,28,12,2,3
12050,4,1,22,11,31,10,3,4
12050,5,1,14,11,25,10,3,4
12050,6,1,20,11,33,10,3,4
12050,7,1,23,10,30,10,4,5
12050,8,1,,,,,,
12057,1,1,23,21,24,17,1,2
12057,2,1,23,17,26,12,2,3
12057,3,1,18,15,25,10,1,2
12057,4,1,21,14,18,12,1,2
12057,5,1,21,11,22,10,1,3
12057,6,1,20,11,21,10,1,2
12057,7,1,21,12,22,10,2,2
12057,8,1,19,10,23,10,2,3
